#U,#G,#R,#I,#Z,#dU,#dG,#dR,#dI,#dZ
18.61,17.41,17.42,17.42,17.41,0.02,0.00,0.01,0.01,0.01
18.97,17.75,17.57,17.51,17.49,0.03,0.01,0.01,0.01,0.02
19.37,18.22,17.91,17.82,17.75,0.04,0.01,0.01,0.01,0.02
18.59,17.32,17.27,17.33,17.33,0.02,0.01,0.01,0.01,0.01
19.37,18.03,17.83,17.74,17.63,0.04,0.01,0.01,0.01,0.02
19.37,18.10,17.92,17.82,17.76,0.04,0.01,0.01,0.01,0.02
19.02,17.70,17.56,17.58,17.46,0.03,0.01,0.01,0.01,0.01
19.56,18.35,18.05,17.93,17.89,0.04,0.01,0.01,0.01,0.02
18.82,17.50,17.42,17.38,17.35,0.03,0.00,0.01,0.01,0.02
19.53,18.23,17.94,17.84,17.77,0.04,0.01,0.01,0.01,0.02
19.05,17.81,17.59,17.56,17.56,0.03,0.01,0.01,0.01,0.02
19.45,18.22,17.96,17.90,17.75,0.05,0.01,0.01,0.01,0.02
18.48,17.19,17.18,17.27,17.31,0.02,0.01,0.01,0.01,0.02
19.27,18.13,17.81,17.70,17.60,0.03,0.01,0.01,0.01,0.02
19.40,18.14,17.97,17.68,17.66,0.07,0.01,0.01,0.01,0.04
19.21,17.99,17.70,17.60,17.55,0.06,0.01,0.01,0.01,0.02
19.17,17.88,17.74,17.66,17.55,0.03,0.01,0.01,0.01,0.02
18.90,17.67,17.53,17.50,17.46,0.03,0.01,0.01,0.01,0.02
19.37,18.22,17.89,17.79,17.69,0.04,0.01,0.01,0.01,0.02
19.47,18.22,17.95,17.85,17.78,0.04,0.01,0.01,0.01,0.02
19.39,18.13,17.85,17.79,17.61,0.12,0.02,0.01,0.02,0.03
18.86,17.61,17.49,17.44,17.44,0.03,0.01,0.01,0.01,0.02
18.89,17.67,17.62,17.57,17.52,0.05,0.01,0.01,0.01,0.02
19.00,17.71,17.55,17.50,17.53,0.03,0.01,0.01,0.01,0.02
18.38,17.15,17.22,17.28,17.24,0.02,0.00,0.00,0.01,0.01
19.49,18.24,17.92,17.80,17.73,0.04,0.01,0.01,0.01,0.02
19.46,18.24,17.96,17.87,17.79,0.04,0.01,0.01,0.01,0.02
19.46,18.23,17.89,17.79,17.70,0.03,0.01,0.01,0.01,0.02
18.67,17.43,17.43,17.44,17.44,0.02,0.00,0.01,0.01,0.02
18.69,17.43,17.37,17.38,17.39,0.02,0.01,0.01,0.01,0.02
19.46,18.23,17.89,17.77,17.73,0.04,0.01,0.01,0.01,0.02
19.17,17.88,17.64,17.56,17.51,0.04,0.01,0.01,0.01,0.02
18.81,17.59,17.45,17.44,17.40,0.02,0.01,0.01,0.01,0.01
18.45,17.19,17.20,17.25,17.29,0.02,0.00,0.01,0.01,0.02
19.54,18.35,18.04,17.93,17.87,0.04,0.01,0.01,0.01,0.02
18.92,17.66,17.53,17.48,17.45,0.03,0.01,0.01,0.01,0.02
18.91,17.67,17.53,17.47,17.41,0.04,0.01,0.01,0.01,0.02
18.48,17.20,17.23,17.18,17.36,0.02,0.01,0.01,0.01,0.02
19.51,18.32,18.02,17.93,17.88,0.04,0.01,0.01,0.01,0.02
18.88,17.66,17.48,17.46,17.39,0.06,0.01,0.01,0.01,0.02
19.12,18.03,17.77,17.67,17.59,0.04,0.01,0.01,0.01,0.02
19.18,17.95,17.70,17.58,17.52,0.03,0.01,0.01,0.01,0.02
18.90,17.65,17.49,17.47,17.47,0.02,0.01,0.01,0.01,0.02
